x,y,alpha,err
3.0000000000000000e+00,4.7000000000000000e+01,9.6006012588235035e-01,1.1102230246251565e-16
3.0000000000000000e+00,4.8000000000000000e+01,9.6084089330403011e-01,0.0000000000000000e+00
3.0000000000000000e+00,4.9000000000000000e+01,9.6159176824905990e-01,1.1102230246251565e-16
3.0000000000000000e+00,5.0000000000000000e+01,9.6231443237340841e-01,0.0000000000000000e+00
3.0000000000000000e+00,5.1000000000000000e+01,9.6301044372826816e-01,0.0000000000000000e+00
3.0000000000000000e+00,5.2000000000000000e+01,9.6368124789170895e-01,1.1102230246251565e-16
3.0000000000000000e+00,5.3000000000000000e+01,9.6432818792080965e-01,1.1102230246251565e-16
3.0000000000000000e+00,5.4000000000000000e+01,9.6495251326727582e-01,0.0000000000000000e+00
3.0000000000000000e+00,5.5000000000000000e+01,9.6555538778010930e-01,0.0000000000000000e+00
3.0000000000000000e+00,5.6000000000000000e+01,9.6613789690237772e-01,1.1102230246251565e-16
3.0000000000000000e+00,5.7000000000000000e+01,9.6670105415504592e-01,1.1102230246251565e-16
3.0000000000000000e+00,5.8000000000000000e+01,9.6724580698879881e-01,0.0000000000000000e+00
3.0000000000000000e+00,5.9000000000000000e+01,9.6777304207446835e-01,0.0000000000000000e+00
3.0000000000000000e+00,6.0000000000000000e+01,9.6828359009381837e-01,0.0000000000000000e+00
3.0000000000000000e+00,6.1000000000000000e+01,9.6877823008481023e-01,1.1102230246251565e-16
3.0000000000000000e+00,6.2000000000000000e+01,9.6925769338888013e-01,1.1102230246251565e-16
3.0000000000000000e+00,6.3000000000000000e+01,9.6972266724206424e-01,1.1102230246251565e-16
3.0000000000000000e+00,6.4000000000000000e+01,9.7017379804685711e-01,0.0000000000000000e+00
3.0000000000000000e+00,6.5000000000000000e+01,9.7061169435739769e-01,1.1102230246251565e-16
3.0000000000000000e+00,6.6000000000000000e+01,9.7103692960682852e-01,0.0000000000000000e+00
4.0000000000000000e+00,3.0000000000000000e+00,7.4535599249992990e-01,0.0000000000000000e+00
4.0000000000000000e+00,4.0000000000000000e+00,7.6536686473017945e-01,1.1102230246251565e-16
4.0000000000000000e+00,5.0000000000000000e+00,7.8453815841598440e-01,0.0000000000000000e+00
4.0000000000000000e+00,6.0000000000000000e+00,8.0200425664373443e-01,1.1102230246251565e-16
4.0000000000000000e+00,7.0000000000000000e+00,8.1754946186018218e-01,0.0000000000000000e+00
4.0000000000000000e+00,8.0000000000000000e+00,8.3125387555490693e-01,0.0000000000000000e+00
4.0000000000000000e+00,9.0000000000000000e+00,8.4330748601010652e-01,1.1102230246251565e-16
4.0000000000000000e+00,1.0000000000000000e+01,8.5392436165578489e-01,1.1102230246251565e-16
4.0000000000000000e+00,1.1000000000000000e+01,8.6330711598198717e-01,0.0000000000000000e+00
4.0000000000000000e+00,1.2000000000000000e+01,8.7163462910095402e-01,1.1102230246251565e-16
4.0000000000000000e+00,1.3000000000000000e+01,8.7905987290301990e-01,0.0000000000000000e+00
4.0000000000000000e+00,1.4000000000000000e+01,8.8571175369959476e-01,1.1102230246251565e-16
4.0000000000000000e+00,1.5000000000000000e+01,8.9169825792002055e-01,1.1102230246251565e-16
4.0000000000000000e+00,1.6000000000000000e+01,8.9710974713180791e-01,0.0000000000000000e+00
4.0000000000000000e+00,1.7000000000000000e+01,9.0202195634918669e-01,1.1102230246251565e-16
4.0000000000000000e+00,1.8000000000000000e+01,9.0649856206714707e-01,1.1102230246251565e-16
4.0000000000000000e+00,1.9000000000000000e+01,9.1059331765073104e-01,0.0000000000000000e+00
4.0000000000000000e+00,2.0000000000000000e+01,9.1435180289442675e-01,0.0000000000000000e+00
4.0000000000000000e+00,2.1000000000000000e+01,9.1781284766722504e-01,0.0000000000000000e+00
4.0000000000000000e+00,2.2000000000000000e+01,9.2100968769863012e-01,0.0000000000000000e+00
4.0000000000000000e+00,2.3000000000000000e+01,9.2397090331417353e-01,0.0000000000000000e+00
4.0000000000000000e+00,2.4000000000000000e+01,9.2672118349380606e-01,1.1102230246251565e-16
4.0000000000000000e+00,2.5000000000000000e+01,9.2928194971439981e-01,1.1102230246251565e-16
4.0000000000000000e+00,2.6000000000000000e+01,9.3167186723102924e-01,1.1102230246251565e-16
4.0000000000000000e+00,2.7000000000000000e+01,9.3390726584128958e-01,1.1102230246251565e-16
4.0000000000000000e+00,2.8000000000000000e+01,9.3600248765732696e-01,1.1102230246251565e-16
4.0000000000000000e+00,2.9000000000000000e+01,9.3797017581460163e-01,1.1102230246251565e-16
4.0000000000000000e+00,3.0000000000000000e+01,9.3982151520418877e-01,1.1102230246251565e-16
4.0000000000000000e+00,3.1000000000000000e+01,9.4156643407493268e-01,0.0000000000000000e+00
4.0000000000000000e+00,3.2000000000000000e+01,9.4321377358626135e-01,1.1102230246251565e-16
4.0000000000000000e+00,3.3000000000000000e+01,9.4477143099963445e-01,0.0000000000000000e+00
4.0000000000000000e+00,3.4000000000000000e+01,9.4624648109533449e-01,0.0000000000000000e+00
4.0000000000000000e+00,3.5000000000000000e+01,9.4764527952808508e-01,0.0000000000000000e+00
4.0000000000000000e+00,3.6000000000000000e+01,9.4897355114024939e-01,0.0000000000000000e+00
4.0000000000000000e+00,3.7000000000000000e+01,9.5023646569664133e-01,1.1102230246251565e-16
4.0000000000000000e+00,3.8000000000000000e+01,9.5143870306037226e-01,0.0000000000000000e+00
4.0000000000000000e+00,3.9000000000000000e+01,9.5258450947140516e-01,0.0000000000000000e+00
4.0000000000000000e+00,4.0000000000000000e+01,9.5367774630049496e-01,1.1102230246251565e-16
4.0000000000000000e+00,4.1000000000000000e+01,9.5472193241683456e-01,0.0000000000000000e+00
4.0000000000000000e+00,4.2000000000000000e+01,9.5572028111691265e-01,0.0000000000000000e+00
4.0000000000000000e+00,4.3000000000000000e+01,9.5667573240615023e-01,1.1102230246251565e-16
4.0000000000000000e+00,4.4000000000000000e+01,9.5759098129695341e-01,1.1102230246251565e-16
4.0000000000000000e+00,4.5000000000000000e+01,9.5846850268148187e-01,0.0000000000000000e+00
4.0000000000000000e+00,4.6000000000000000e+01,9.5931057325038360e-01,1.1102230246251565e-16
4.0000000000000000e+00,4.7000000000000000e+01,9.6011929085656145e-01,2.2204460492503131e-16
4.0000000000000000e+00,4.8000000000000000e+01,9.6089659166296237e-01,0.0000000000000000e+00
4.0000000000000000e+00,4.9000000000000000e+01,9.6164426536323377e-01,0.0000000000000000e+00
4.0000000000000000e+00,5.0000000000000000e+01,9.6236396872207319e-01,1.1102230246251565e-16
4.0000000000000000e+00,5.1000000000000000e+01,9.6305723764681128e-01,1.1102230246251565e-16
4.0000000000000000e+00,5.2000000000000000e+01,9.6372549797200480e-01,1.1102230246251565e-16
4.0000000000000000e+00,5.3000000000000000e+01,9.6437007511367867e-01,1.1102230246251565e-16
4.0000000000000000e+00,5.4000000000000000e+01,9.6499220272852670e-01,2.2204460492503131e-16
4.0000000000000000e+00,5.5000000000000000e+01,9.6559303049526313e-01,1.1102230246251565e-16
4.0000000000000000e+00,5.6000000000000000e+01,9.6617363111986021e-01,1.1102230246251565e-16
4.0000000000000000e+00,5.7000000000000000e+01,9.6673500665320378e-01,1.1102230246251565e-16
4.0000000000000000e+00,5.8000000000000000e+01,9.6727809419838451e-01,1.1102230246251565e-16
4.0000000000000000e+00,5.9000000000000000e+01,9.6780377107511928e-01,0.0000000000000000e+00
4.0000000000000000e+00,6.0000000000000000e+01,9.6831285950042933e-01,1.1102230246251565e-16
4.0000000000000000e+00,6.1000000000000000e+01,9.6880613083747613e-01,0.0000000000000000e+00
4.0000000000000000e+00,6.2000000000000000e+01,9.6928430945820898e-01,0.0000000000000000e+00
4.0000000000000000e+00,6.3000000000000000e+01,9.6974807626005710e-01,1.1102230246251565e-16
4.0000000000000000e+00,6.4000000000000000e+01,9.7019807187219553e-01,0.0000000000000000e+00
4.0000000000000000e+00,6.5000000000000000e+01,9.7063489958281057e-01,0.0000000000000000e+00
4.0000000000000000e+00,6.6000000000000000e+01,9.7105912801522232e-01,1.1102230246251565e-16
5.0000000000000000e+00,3.0000000000000000e+00,7.7014401325043669e-01,0.0000000000000000e+00
5.0000000000000000e+00,4.0000000000000000e+00,7.8453815841598440e-01,0.0000000000000000e+00
5.0000000000000000e+00,5.0000000000000000e+00,7.9918577595351048e-01,0.0000000000000000e+00
5.0000000000000000e+00,6.0000000000000000e+00,8.1321039093177383e-01,1.1102230246251565e-16
5.0000000000000000e+00,7.0000000000000000e+00,8.2619504806391586e-01,0.0000000000000000e+00
5.0000000000000000e+00,8.0000000000000000e+00,8.3800215345927243e-01,1.1102230246251565e-16
5.0000000000000000e+00,9.0000000000000000e+00,8.4864257255698261e-01,0.0000000000000000e+00
5.0000000000000000e+00,1.0000000000000000e+01,8.5819653257989148e-01,0.0000000000000000e+00
5.0000000000000000e+00,1.1000000000000000e+01,8.6677038085075742e-01,0.0000000000000000e+00
5.0000000000000000e+00,1.2000000000000000e+01,8.7447463219520616e-01,0.0000000000000000e+00
5.0000000000000000e+00,1.3000000000000000e+01,8.8141372298967202e-01,0.0000000000000000e+00
5.0000000000000000e+00,1.4000000000000000e+01,8.8768189482144177e-01,0.0000000000000000e+00
5.0000000000000000e+00,1.5000000000000000e+01,8.9336214744152609e-01,1.1102230246251565e-16
5.0000000000000000e+00,1.6000000000000000e+01,8.9852663790804577e-01,0.0000000000000000e+00
5.0000000000000000e+00,1.7000000000000000e+01,9.0323768753243183e-01,1.1102230246251565e-16
5.0000000000000000e+00,1.8000000000000000e+01,9.0754897655035938e-01,0.0000000000000000e+00
5.0000000000000000e+00,1.9000000000000000e+01,9.1150672586871684e-01,1.1102230246251565e-16
5.0000000000000000e+00,2.0000000000000000e+01,9.1515077850732307e-01,1.1102230246251565e-16
5.0000000000000000e+00,2.1000000000000000e+01,9.1851555048870792e-01,0.0000000000000000e+00
5.0000000000000000e+00,2.2000000000000000e+01,9.2163084862270450e-01,1.1102230246251565e-16
5.0000000000000000e+00,2.3000000000000000e+01,9.2452256505429620e-01,1.1102230246251565e-16
5.0000000000000000e+00,2.4000000000000000e+01,9.2721326309156404e-01,1.1102230246251565e-16
5.0000000000000000e+00,2.5000000000000000e+01,9.2972266965660988e-01,1.1102230246251565e-16
5.0000000000000000e+00,2.6000000000000000e+01,9.3206808877016301e-01,1.1102230246251565e-16
5.0000000000000000e+00,2.7000000000000000e+01,9.3426474885111832e-01,0.0000000000000000e+00
